id,UQV story,query 1,query 2,Generalization/Specialization,Aspect Change,Paraphrasing,Naturality,Word ordering,"Generalization/Specification: specializing or generalizing within the provided backstory (information need)
Aspect change: moves to/from different aspects of the same information need
Paraphrasing: changes one (synonym replacement) or most of the words (paraphrasing) but mantains the same meaning.
Naturality: moves from a query that is kewyord based to a question based query and vice versa.
Word order: changes the order of some words."
1,UQV100.087,carotid cavernous fistula treatment,treatment carotid cavernous fistula,FALSE,FALSE,FALSE,FALSE,TRUE,
2,UQV100.071,halloween middle-school-aged children,the best halloween activities for children,FALSE,FALSE,TRUE,FALSE,FALSE,
3,UQV100.053,abscess treatment,toothache remedies,TRUE,FALSE,TRUE,FALSE,FALSE,
4,UQV100.023,healthy food pyramid diet,usda food pyramid 2015,TRUE,FALSE,FALSE,FALSE,TRUE,
5,UQV100.035,licenses for ham radio operating,ham license classes,FALSE,FALSE,FALSE,FALSE,FALSE,
6,UQV100.071,halloween activities for middle-school children,the best halloween activities for children,FALSE,FALSE,TRUE,FALSE,FALSE,
7,UQV100.043,what does the writing on the afghan flag mean,afghanistan national flag meaning,FALSE,FALSE,TRUE,TRUE,FALSE,
8,UQV100.011,what it is best holiday,madagascar is best known for,TRUE,TRUE,FALSE,FALSE,FALSE,
9,UQV100.037,why does anxiety cause a lump in my throat,how it is that anxiety can cause a lump in your throat,FALSE,FALSE,TRUE,FALSE,FALSE,
10,UQV100.053,treatment for jaw pain,treatments available for abscess,TRUE,FALSE,FALSE,FALSE,FALSE,
11,UQV100.040,what were all the presidents middle names,middle name of us presidents,FALSE,FALSE,FALSE,TRUE,FALSE,
12,UQV100.076,cultural impact of african music in north america,all about african american music,FALSE,FALSE,FALSE,FALSE,FALSE,
13,UQV100.021,results of 2008 presidential race,the presidential race in 2008,TRUE,FALSE,FALSE,FALSE,TRUE,
14,UQV100.046,how many battles during the american civil war was fought in south carolina,number of battles fought in south carolina,TRUE,FALSE,FALSE,TRUE,FALSE,
15,UQV100.068,benefits of running,jogging,TRUE,FALSE,TRUE,FALSE,FALSE,
16,UQV100.026,visiting traverse city,traverse city tripadvisor,TRUE,FALSE,FALSE,FALSE,FALSE,
17,UQV100.009,career in surveying education,education required for land surveying,FALSE,TRUE,FALSE,FALSE,FALSE,
18,UQV100.027,i will survive lyrice,i will survive lyrics youtube,TRUE,FALSE,FALSE,FALSE,FALSE,
19,UQV100.080,how to see internet browsing history         the websites that have been previously visited,how to see my browsing history,FALSE,FALSE,FALSE,TRUE,FALSE,
20,UQV100.100,how to calculate mean number,what's the number of clusters,FALSE,TRUE,FALSE,FALSE,FALSE,
21,UQV100.061,home remedies for instant relief of a sore throat,what are the causes of coughing,FALSE,TRUE,FALSE,FALSE,FALSE,
22,UQV100.095,how to windsor knot,windsor knot tutorials,FALSE,FALSE,TRUE,FALSE,FALSE,
23,UQV100.080,how to find my internet browsing history,my browsing history,FALSE,FALSE,FALSE,TRUE,FALSE,
24,UQV100.046,number of battles in south carolina during civil war,american civil war,TRUE,FALSE,FALSE,FALSE,FALSE,
25,UQV100.093,evidence of learning for social media sites,facebook social networking educational benefits,FALSE,FALSE,TRUE,FALSE,FALSE,
26,UQV100.042,cannellini bean substitution,cannellini beans alternatives,FALSE,FALSE,TRUE,FALSE,FALSE,
27,UQV100.088,famous quotes fidel castro,fidel castro famous quotes,FALSE,FALSE,FALSE,FALSE,TRUE,
28,UQV100.017,fun activities for children on earth day,fun child activities earth day,FALSE,FALSE,FALSE,TRUE,FALSE,
29,UQV100.099,do school lunches contain pink slime,is pink slime part of school lunches,FALSE,FALSE,TRUE,FALSE,FALSE,
30,UQV100.092,when was electronic medical records introduced,electronic medical records are now in widespread,FALSE,TRUE,FALSE,FALSE,FALSE,
31,UQV100.068,benefits of running on the body,what are the benefits of running,FALSE,FALSE,FALSE,TRUE,FALSE,
32,UQV100.037,anxiety can cause a lump,can anxiety cause a lump in the throat,TRUE,FALSE,FALSE,FALSE,FALSE,
33,UQV100.051,what do spider bites look like,spiders and their bite effects,FALSE,TRUE,FALSE,FALSE,FALSE,
34,UQV100.100,calculate mean for report,set of numbers for a sales report,TRUE,FALSE,FALSE,FALSE,FALSE,
35,UQV100.006,the disadvantages of wind power farms,disadvantages of wind power,FALSE,FALSE,FALSE,TRUE,FALSE,
36,UQV100.040,what are the middle names of all past presidents,presidential middle names,FALSE,FALSE,FALSE,TRUE,FALSE,
37,UQV100.054,barrett's esophagus information,cancer and barrett's esophagus,TRUE,FALSE,FALSE,FALSE,FALSE,
38,UQV100.099,pink slime school lunches,pink slime,TRUE,FALSE,FALSE,FALSE,FALSE,
39,UQV100.094,flowering plant fossil dates,for instances of flowered plants on earth,TRUE,FALSE,FALSE,FALSE,FALSE,
40,UQV100.090,how to identify norway spruce,what's the norway spruce,FALSE,FALSE,TRUE,FALSE,FALSE,
41,UQV100.051,pics of spider bites,spider bite id,FALSE,TRUE,FALSE,FALSE,FALSE,
42,UQV100.074,vacation packages with golf,vacation packages golf lessons,FALSE,FALSE,TRUE,FALSE,FALSE,
43,UQV100.073,wilson's disease,wilson's disease zinc connection,TRUE,FALSE,FALSE,FALSE,FALSE,
44,UQV100.033,hair dye safe pregnancy,hair dye options whilst pregnant,FALSE,FALSE,TRUE,FALSE,FALSE,
45,UQV100.092,electronic health records wiki,history of health records,FALSE,FALSE,TRUE,FALSE,FALSE,
46,UQV100.053,what treatments are available for an abscessed tooth,dental abscess treatment,FALSE,FALSE,FALSE,TRUE,FALSE,
47,UQV100.069,information on schools and living in marshall county         west virginia,types of school located in marshall county	 west virginia,FALSE,FALSE,TRUE,FALSE,FALSE,
48,UQV100.052,history of orcas island seattle,orcas island history and information,FALSE,FALSE,FALSE,FALSE,FALSE,
49,UQV100.064,what indian tribes lived in alabama at one time,alabama indians,FALSE,FALSE,FALSE,TRUE,FALSE,
50,UQV100.075,results of uss cole bombing investigation,uss cole bombing investigation,FALSE,FALSE,FALSE,TRUE,FALSE,
51,UQV100.043,what is the writing on the afghanistan flag,flag of afghanistan,TRUE,FALSE,FALSE,TRUE,FALSE,
52,UQV100.021,2008 us presidential electoral college,results of electoral college in 2008,FALSE,FALSE,TRUE,FALSE,TRUE,
53,UQV100.095,how to tie windsor knot,windsor knot instructions,FALSE,FALSE,FALSE,TRUE,FALSE,
54,UQV100.055,price of steiff teddy bear from germany and worth,steiff teddy bear prices and products,FALSE,TRUE,FALSE,FALSE,TRUE,
55,UQV100.091,hiking in sangre de cristo in summer,hiking options during the summer in sangre de cristo,FALSE,FALSE,TRUE,FALSE,TRUE,
56,UQV100.017,what are things to do on earth day,activities to celebrate earth day,FALSE,FALSE,TRUE,FALSE,FALSE,
57,UQV100.071,suitable activities on halloween,halloween activities for mid school aged kids,TRUE,FALSE,FALSE,FALSE,FALSE,
58,UQV100.082,what interplanetary missions has nasa implemented,nasa interplanetary plans,FALSE,FALSE,TRUE,TRUE,FALSE,
59,UQV100.011,madagascar details,what are some symbolisms and special things that people associate madagascar with,FALSE,FALSE,FALSE,TRUE,FALSE,
60,UQV100.050,ford edge reviews,ford edge reviews problems,TRUE,FALSE,FALSE,FALSE,FALSE,
61,UQV100.074,golf lessons,golf lessons vacation,TRUE,FALSE,FALSE,FALSE,FALSE,
62,UQV100.076,african american music influence on culture,african american music influence history culture,FALSE,FALSE,TRUE,FALSE,FALSE,
63,UQV100.091,hiking in sangre de cristo mountain region         nm,sangre de cristo mountain hiking options,FALSE,FALSE,TRUE,FALSE,FALSE,
64,UQV100.077,names cast members bewitched show,bewitched tv show character names,FALSE,FALSE,TRUE,FALSE,TRUE,
65,UQV100.066,symptoms of heart attack for either a man or a woman,differentiation of heart attack symptoms in men and women,FALSE,TRUE,FALSE,FALSE,FALSE,
66,UQV100.078,mister rogers' neighborhood	 lyrics,lyrics to the theme song for mister rogers neighborhood,FALSE,FALSE,FALSE,TRUE,FALSE,
67,UQV100.098,jehovah witness medicine,jehovah's witnesses medical treatment,FALSE,FALSE,TRUE,FALSE,FALSE,
68,UQV100.085,magnesium in diet,magnesium benefits,FALSE,TRUE,FALSE,FALSE,FALSE,
69,UQV100.050,"common mechanical problems associated with the car ""ford edge""",ford edge side effects,FALSE,TRUE,FALSE,FALSE,FALSE,
70,UQV100.060,timeline of american revolution major events,american revolution timetable,FALSE,FALSE,TRUE,FALSE,FALSE,
71,UQV100.077,names cast members bewitched show,bewitched 70,TRUE,FALSE,FALSE,TRUE,FALSE,
72,UQV100.061,what are homemade remedies for a sore throat,home remedies for sore throat,FALSE,FALSE,TRUE,TRUE,FALSE,
73,UQV100.012,set up home theater,home theater specifications guidelines,FALSE,FALSE,TRUE,FALSE,FALSE,
74,UQV100.059,how to safely remove carpenter bee,removing carpenter bees,FALSE,FALSE,FALSE,TRUE,FALSE,
75,UQV100.089,children health benefits doing yoga,health benefits of yoga for children,FALSE,FALSE,TRUE,FALSE,FALSE,
76,UQV100.051,spider identification charts,images of spiders,FALSE,TRUE,FALSE,FALSE,FALSE,
77,UQV100.078,mister rogers' neighborhood tv show songs,mister rogers neighborhood' theme song lyrics,FALSE,FALSE,TRUE,FALSE,FALSE,
78,UQV100.007,bph diagnosis treatment,living with benign prostatic hyperplasia and treatment,FALSE,TRUE,TRUE,FALSE,FALSE,
79,UQV100.090,images of norway spruce,identifying the norway spruce tree,FALSE,TRUE,FALSE,FALSE,FALSE,
80,UQV100.001,raspberry pi price and reviews,how much a raspberry pi,TRUE,FALSE,FALSE,TRUE,FALSE,
81,UQV100.056,who is the patron saint for mental illness,who is the saint of mental illness,FALSE,FALSE,TRUE,FALSE,FALSE,
82,UQV100.037,can anxiety cause a lump in throat,how does anxiety cause a lump in throat,FALSE,FALSE,TRUE,FALSE,FALSE,
83,UQV100.043,writing on the building on the news last night,what does writing on the american national flag mean,FALSE,TRUE,FALSE,FALSE,FALSE,
84,UQV100.005,average donations amount of usa individual,how much is the average per person charitable donation per year,TRUE,FALSE,FALSE,TRUE,FALSE,
85,UQV100.100,maths help for sales figures,the mean of a set of numbers definition,FALSE,TRUE,FALSE,FALSE,FALSE,
86,UQV100.036,mad cow disease symptoms,what's mad cow disease symptoms,FALSE,FALSE,FALSE,TRUE,FALSE,
87,UQV100.076,how has african american music influenced history,black and african music influence on us culture,FALSE,FALSE,FALSE,TRUE,FALSE,
88,UQV100.053,treatment for abscess,tooth abscess pain relief,FALSE,FALSE,TRUE,FALSE,FALSE,
89,UQV100.042,cannellini bean substitutes,cannellini beans similar foods,FALSE,FALSE,TRUE,FALSE,FALSE,
90,UQV100.040,the middle names of the presidents,middle names for presidents,FALSE,FALSE,TRUE,FALSE,FALSE,
91,UQV100.025,who gets the gold shoes,images of air jordan black and gold shoes,FALSE,TRUE,FALSE,FALSE,FALSE,
92,UQV100.063,has the theory of evolution been proven,theory of evolution evidence,FALSE,FALSE,TRUE,TRUE,FALSE,
93,UQV100.040,a list of all the presidents including middle names,middle names of the presidents of us,TRUE,FALSE,FALSE,FALSE,FALSE,
94,UQV100.075,what was the outcome of the bombing investigation of the uss cole,uss cole bombing results,FALSE,FALSE,FALSE,TRUE,FALSE,
95,UQV100.012,home theater good acoustics design,tips and tricks for the arrangement of your home theatre,FALSE,FALSE,TRUE,FALSE,FALSE,
96,UQV100.051,which spiders bite in [location],spider pictures,FALSE,TRUE,FALSE,FALSE,FALSE,
97,UQV100.040,list of president's full names,us presidents full name list,FALSE,FALSE,FALSE,FALSE,TRUE,
98,UQV100.094,when flowering plants first appeared,prehistory flowering plants,TRUE,FALSE,FALSE,FALSE,FALSE,
99,UQV100.090,image norway spruce,images norway spruce,FALSE,FALSE,TRUE,FALSE,FALSE,
100,UQV100.059,carpenter bee infestation removal,removing carpenter bees from home,FALSE,FALSE,TRUE,FALSE,FALSE,
101,UQV100.086,commonly used drugs to treat different stages of schizophrenia,drugs for mental illness treatment,FALSE,FALSE,TRUE,FALSE,FALSE,
102,UQV100.038,biography george h.w. bush,george w bush biography,FALSE,FALSE,FALSE,FALSE,TRUE,
103,UQV100.010,gps golf ios app,iphone app gps for golf,FALSE,FALSE,TRUE,FALSE,TRUE,
104,UQV100.096,recycle mobile battery,car battery recycle dispose safely,TRUE,FALSE,FALSE,FALSE,FALSE,
105,UQV100.046,how many battles were fought in south carolina american civil war,how many battle in south carolina,TRUE,FALSE,FALSE,FALSE,FALSE,
106,UQV100.006,wind power disadvantage,wind farm,TRUE,FALSE,FALSE,FALSE,FALSE,
107,UQV100.100,how to calculate mean in excel,sales report in excel files,FALSE,TRUE,FALSE,FALSE,FALSE,
108,UQV100.030,largest dog in the world,what's the biggest dog,FALSE,FALSE,TRUE,FALSE,FALSE,
109,UQV100.017,earth day fun activities,earth day children's events,TRUE,FALSE,FALSE,FALSE,FALSE,
110,UQV100.057,summary of holes by sachar,holes	 by louis sachar,FALSE,FALSE,FALSE,TRUE,FALSE,
111,UQV100.036,mad cow symptoms humans,mad cow wiki,TRUE,FALSE,FALSE,FALSE,FALSE,
112,UQV100.057,book excerpts holes by louis sachar,synopsis of holes by louis sachar,FALSE,TRUE,FALSE,FALSE,FALSE,
113,UQV100.005,how much does a united states citizen give in donations,average usa individual donations charities,FALSE,FALSE,FALSE,TRUE,FALSE,
114,UQV100.010,iphone app golf gps device,is the a available app on my iphone that i can use instead of a gps device on the gold course,FALSE,FALSE,FALSE,TRUE,FALSE,
115,UQV100.090,tree species id,tree species norway spruce type,TRUE,FALSE,FALSE,FALSE,FALSE,
116,UQV100.047,real story and characters behind the rain man movie,rain man story,FALSE,FALSE,FALSE,TRUE,FALSE,
117,UQV100.084,where to find morel mushrooms in the wild,where do morel mushrooms grow naturally,FALSE,FALSE,TRUE,FALSE,FALSE,
118,UQV100.017,fun activities for kids on earth day,earth day fun,TRUE,FALSE,FALSE,FALSE,FALSE,
119,UQV100.021,electoral results us presidency 2008,2008 us presidential race electoral results,FALSE,FALSE,FALSE,FALSE,TRUE,
120,UQV100.032,irene manville,manville	 new jersey	 who mentioned flooding after hurricane irene,TRUE,FALSE,FALSE,FALSE,FALSE,
121,UQV100.010,iphone gps app golf,iphone gps app for golfing,FALSE,FALSE,TRUE,FALSE,FALSE,
122,UQV100.021,electoral results us presidency 2008,electoral college results for the 2008 us presidential race,FALSE,FALSE,TRUE,FALSE,FALSE,
123,UQV100.050,reviews and problems of the ford edge,reviews ford edge,TRUE,FALSE,FALSE,FALSE,FALSE,
124,UQV100.032,manville	 new jersey hurricane irene,hurricane irene manville floods,FALSE,FALSE,TRUE,FALSE,FALSE,
125,UQV100.095,wisdom knot,video to make windsor knot,TRUE,FALSE,FALSE,FALSE,FALSE,
126,UQV100.093,facebook educational benefits,social networking,FALSE,TRUE,FALSE,FALSE,FALSE,
127,UQV100.091,hiking options in sangre de cristo new mexico,sangre de cristo mountain hiking options,FALSE,FALSE,FALSE,FALSE,TRUE,
128,UQV100.100,how to calculate mean,what is the mean in maths,FALSE,FALSE,TRUE,FALSE,FALSE,
129,UQV100.012,tips and tricks for the arrangement of your home theatre,home theater building tips,FALSE,FALSE,TRUE,FALSE,FALSE,
130,UQV100.037,how does anxiety cause throat lumps,anxiety lump throat,FALSE,FALSE,FALSE,TRUE,FALSE,
131,UQV100.037,how does anxiety cause a lump in your throat,anxiety lump in throat,FALSE,FALSE,FALSE,TRUE,FALSE,
132,UQV100.062,bald,what are some treatments for hair thinning and baldness in women,TRUE,FALSE,FALSE,TRUE,FALSE,
133,UQV100.043,troops returning from afghanistan flag,afghanistan writings on the flag,FALSE,TRUE,FALSE,FALSE,FALSE,
134,UQV100.082,what do you need to do to become a astronaut,interplanetary missions of nasa,FALSE,TRUE,FALSE,FALSE,FALSE,
135,UQV100.076,african-american cultural history,african american music influences in history,FALSE,FALSE,TRUE,FALSE,FALSE,
136,UQV100.082,interplanetary missions implemented by nasa,nasa plans for interplanetary missions,FALSE,FALSE,TRUE,FALSE,TRUE,
137,UQV100.096,where can i recycle my old car battery safely,old battery recycling,FALSE,FALSE,FALSE,TRUE,FALSE,
138,UQV100.001,prince raspberry pi,raspberry pi cost,FALSE,FALSE,TRUE,FALSE,FALSE,
139,UQV100.040,a list of the middle names of all the presidents of the usa,people know presidents middle names,FALSE,TRUE,FALSE,FALSE,FALSE,
140,UQV100.098,typical medical treatments of jehovah's religion,what are jehovah witnesses belief in health,FALSE,FALSE,TRUE,FALSE,FALSE,
141,UQV100.082,interplanetary missions by nasa,nasa plans to visit other planets manned,FALSE,FALSE,TRUE,FALSE,FALSE,
142,UQV100.097,how to fix altitude sickness in mexico city,prevent altitude sickness,TRUE,FALSE,TRUE,FALSE,FALSE,
143,UQV100.007,bph treatment symptoms,what is bph and what is the symptoms and treatment,FALSE,FALSE,FALSE,TRUE,FALSE,
144,UQV100.084,where to find morel mushroom grown,find wild morel mushrooms,FALSE,FALSE,FALSE,TRUE,FALSE,
145,UQV100.054,wikipedia barrett's esophagus,barrett's esophagus wiki,FALSE,FALSE,TRUE,FALSE,TRUE,
146,UQV100.053,treatments for a abscess tooth,toothache and what to use,TRUE,FALSE,TRUE,FALSE,FALSE,
147,UQV100.058,hip roofs advantages and disadvantages,advantages and disadvantages of roof types,FALSE,FALSE,FALSE,FALSE,TRUE,
148,UQV100.048,backyard flock of chickens,what is the shelf life of an egg,FALSE,TRUE,FALSE,FALSE,FALSE,
149,UQV100.075,results of the bombing of the uss cole,uss cole investigation,FALSE,FALSE,FALSE,TRUE,FALSE,
150,UQV100.074,golf vacations,golf lessons holiday,FALSE,TRUE,FALSE,FALSE,FALSE,
151,UQV100.034,health impact of dark chocolate,dark chocolate for health,FALSE,FALSE,TRUE,FALSE,FALSE,
152,UQV100.082,nasa list of current interplanetary missions,interplanetary missions by nasa,FALSE,FALSE,FALSE,TRUE,FALSE,
153,UQV100.032,manville	 new jersey post hurricane irene,hurricane irene manville	 new jersey,FALSE,FALSE,FALSE,FALSE,TRUE,
154,UQV100.074,golf,the best vacation packages that include golf,TRUE,FALSE,FALSE,FALSE,FALSE,
155,UQV100.048,what is the shelf life of a freshly laid chicken egg,backyard egg shelf life,FALSE,FALSE,TRUE,TRUE,FALSE,
156,UQV100.046,how many battles were fought in south carolina during the american civil war,south carolina civil war battle sites,TRUE,FALSE,FALSE,TRUE,FALSE,
157,UQV100.014,us tax rate help,how to calculate us tax return,FALSE,FALSE,TRUE,FALSE,FALSE,
158,UQV100.062,cure for balding,bald spot treatments cures,FALSE,FALSE,TRUE,FALSE,FALSE,
159,UQV100.022,symptoms for male menopause,male menopause symptoms,FALSE,FALSE,FALSE,FALSE,TRUE,
160,UQV100.090,how to identify a norway spruce tree,features of norway spruce,FALSE,FALSE,FALSE,TRUE,FALSE,
161,UQV100.048,for live chicken eggs how do you calculate the expiration date,chicken eggs shelf life,FALSE,FALSE,TRUE,TRUE,FALSE,
162,UQV100.096,how to dispose car battery safely for recycle,where to recycle car batteries,FALSE,TRUE,FALSE,FALSE,FALSE,
163,UQV100.003,les miserables reviews,reviews les miserables,FALSE,FALSE,FALSE,FALSE,TRUE,
164,UQV100.059,carpenter bees extermination,how to prevent bees at home,FALSE,TRUE,FALSE,FALSE,FALSE,
165,UQV100.055,steiff company review,reviews of steiff teddy bears,FALSE,TRUE,FALSE,FALSE,FALSE,
166,UQV100.035,different type of radio ham licenses,ham radio license licenses,FALSE,FALSE,TRUE,FALSE,FALSE,
167,UQV100.078,lyrics of mr rogers neighborhood,mister rogers neighborhood' theme song lyrics,FALSE,FALSE,TRUE,FALSE,TRUE,
168,UQV100.005,which it is the average donation of an american per year,how much on average do americans give to charity,FALSE,FALSE,TRUE,FALSE,FALSE,
169,UQV100.100,numbers for a sales report,how to do mean set of numbers for a sales report,FALSE,TRUE,FALSE,TRUE,FALSE,
170,UQV100.052,history and landmarks of orcas island,orcas island in seattle tourist spots,FALSE,FALSE,TRUE,FALSE,FALSE,
171,UQV100.035,what are the different types of ham radio license you can obtain,new ham radio license differences,FALSE,FALSE,FALSE,TRUE,FALSE,
172,UQV100.071,halloween activities for middle-school children,fun halloween ideas,TRUE,FALSE,FALSE,FALSE,FALSE,
173,UQV100.065,f5 tornado speeds,what are the speed and grades for tornadoes and wind,TRUE,FALSE,FALSE,FALSE,FALSE,
174,UQV100.084,what are the best places to find this kind of mushrooms growing in the wild,morel mushrooms growing place,TRUE,FALSE,FALSE,TRUE,FALSE,
175,UQV100.064,indian history in alabama,alabama area indian tribes,FALSE,FALSE,TRUE,FALSE,FALSE,
176,UQV100.096,local battery recycling centres,where to recycle a car battery,TRUE,FALSE,TRUE,FALSE,FALSE,
177,UQV100.010,golf gps app,iphone gps app,TRUE,FALSE,FALSE,FALSE,FALSE,
178,UQV100.063,evidence and data proving theory of evolution,evidence and data to support theory of evolution,FALSE,FALSE,TRUE,FALSE,FALSE,
179,UQV100.051,garden spider identification,spider,TRUE,FALSE,FALSE,FALSE,FALSE,
180,UQV100.066,heart attack symptoms men women,heart attack symptoms in women,FALSE,TRUE,FALSE,FALSE,FALSE,
181,UQV100.008,cliff notes for doctor zhivago,this is dr.zhivago book,FALSE,FALSE,TRUE,FALSE,FALSE,
182,UQV100.093,can facebook be used as a learning aid,do social sites have educational benefits,FALSE,FALSE,TRUE,FALSE,FALSE,
183,UQV100.088,fidel sayings,famous quotes fidel castro,FALSE,FALSE,TRUE,FALSE,FALSE,
184,UQV100.077,bewitched 1970s,bewitched tv show imdb,TRUE,FALSE,TRUE,FALSE,FALSE,
185,UQV100.009,schooling for land surveying,land surveying educational requirements,FALSE,FALSE,TRUE,FALSE,FALSE,
186,UQV100.014,common questions in filing tax return,taxes in united states,TRUE,FALSE,FALSE,TRUE,FALSE,
187,UQV100.065,f-scale rating tornado index,wind speed of f5 tornado,TRUE,FALSE,TRUE,FALSE,FALSE,
188,UQV100.046,history of american civil war in south carolina,how many battles in sc during american civil war,FALSE,FALSE,TRUE,TRUE,FALSE,
189,UQV100.091,sangre de cristo nm hiking,hiking in sangre de cristo mountain new mexico,FALSE,FALSE,TRUE,FALSE,TRUE,
190,UQV100.099,pink slime schools,pink slime school food,FALSE,FALSE,TRUE,FALSE,FALSE,
