dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
trec-dl-2019,1037798,summarization_with_t5-base,naturality,who is robert gray,robert gray is,TRUE,TRUE
trec-dl-2019,1063750,summarization_with_t5-base,naturality,why did the us volunterilay enter ww1,why did the us volunteri,FALSE,TRUE
trec-dl-2019,1103812,summarization_with_t5-base,naturality,who formed the commonwealth of independent states,the commonwealth of independent,FALSE,FALSE
trec-dl-2019,1106007,summarization_with_t5-base,naturality,define visceral,visceral,TRUE,TRUE
trec-dl-2019,1110199,summarization_with_t5-base,naturality,what is wifi vs bluetooth,wifi vs bluetooth  what,TRUE,TRUE
trec-dl-2019,1112341,summarization_with_t5-base,naturality,what is the daily life of thai people,thai people live,TRUE,TRUE
trec-dl-2019,1113437,summarization_with_t5-base,naturality,what is physical description of spruce,spruce is a,TRUE,TRUE
trec-dl-2019,1114646,summarization_with_t5-base,naturality,what is famvir prescribed for,famvir is a,TRUE,TRUE
trec-dl-2019,1114819,summarization_with_t5-base,naturality,what is durable medical equipment consist of,durable medical equipment consist of,TRUE,TRUE
trec-dl-2019,1115776,summarization_with_t5-base,naturality,what is an aml surveillance analyst,aml surveillance analyst  what is,TRUE,FALSE
trec-dl-2019,1117099,summarization_with_t5-base,naturality,what is a active margin,what is a active,FALSE,FALSE
trec-dl-2019,1121402,summarization_with_t5-base,naturality,what can contour plowing reduce,contour plowing  what can contour,FALSE,FALSE
trec-dl-2019,1121709,summarization_with_t5-base,naturality,what are the three percenters,what are the three percent,FALSE,FALSE
trec-dl-2019,1124210,summarization_with_t5-base,naturality,tracheids are part of,tracheids are,TRUE,TRUE
trec-dl-2019,1129237,summarization_with_t5-base,naturality,hydrogen is a liquid below what temperature,hydrogen is a liquid below what,FALSE,FALSE
trec-dl-2019,1133167,summarization_with_t5-base,naturality,how is the weather in jamaica,the weather in jamaica is,TRUE,TRUE
trec-dl-2019,131843,summarization_with_t5-base,naturality,definition of a sigmet,sigmet  what is,TRUE,FALSE
trec-dl-2019,146187,summarization_with_t5-base,naturality,difference between a mcdouble and a double cheeseburger,mcdouble and double cheese,TRUE,TRUE
trec-dl-2019,148538,summarization_with_t5-base,naturality,difference between rn and bsn,rn and bs,FALSE,TRUE
trec-dl-2019,156493,summarization_with_t5-base,naturality,do goldfish grow,goldfish grow,TRUE,TRUE
trec-dl-2019,168216,summarization_with_t5-base,naturality,does legionella pneumophila cause pneumonia,legionella pneumophila,FALSE,TRUE
trec-dl-2019,207786,summarization_with_t5-base,naturality,how are some sharks warm blooded,how are some sharks warm blood,TRUE,FALSE
