dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
antique,884643,ramsrigouthamg/t5_paraphraser,paraphrase,in the constellation lyra  why are some of the stars labeled with the roman alphabet,in the constellation lyra  why are some stars labeled with the roman alphabet,TRUE,TRUE
antique,913424,ramsrigouthamg/t5_paraphraser,paraphrase,why do i black out while i am driving,why do i black out while driving,TRUE,FALSE
antique,929821,ramsrigouthamg/t5_paraphraser,paraphrase,why do guys sniff their underwear,why do guys sniff underwear,TRUE,TRUE
antique,94629,ramsrigouthamg/t5_paraphraser,paraphrase,why receptors are good drug target,why are receptors a good drug target,TRUE,TRUE
antique,963523,ramsrigouthamg/t5_paraphraser,paraphrase,how to get mythral shards on kingdom hearts 2,how do i get mythral shards on kingdom hearts 2,TRUE,TRUE
antique,98438,ramsrigouthamg/t5_paraphraser,paraphrase,where can i find a simplified explanation of how to use commas properly,where can i find a simplified explanation of how to use commas,TRUE,TRUE
antique,986260,ramsrigouthamg/t5_paraphraser,paraphrase,what is currently the meaning of life,what is the meaning of life,TRUE,TRUE
antique,993601,ramsrigouthamg/t5_paraphraser,paraphrase,why were black women abused sexually after the abolition of slavery in the us in 1865,why were black women sexually abused after the abolition of slavery in the us in 1865,TRUE,TRUE
antique,103298,t5_uqv_paraphraser,paraphrase,why precisely is foreign food considered ethnic,why is foreign food considered ethnic,TRUE,TRUE
antique,1037897,t5_uqv_paraphraser,paraphrase,why doesn t salt lake city have its own sub category,why doesn t salt lake city have its own subcategory,TRUE,FALSE
antique,1188438,t5_uqv_paraphraser,paraphrase,why is there a fence runiing on the sides of the freeway in the middle of the desert up and over rough terrain,why is there a fence runningiing on the sides of the freeway in the middle of the desert,FALSE,FALSE
antique,1191621,t5_uqv_paraphraser,paraphrase,how can some one so negative go to hevan  if there is one,how can some one so negative go to hevan,TRUE,TRUE
antique,1251077,t5_uqv_paraphraser,paraphrase,what is the term  take hight road  mean,what does the term  take hight road  mean,TRUE,TRUE
antique,126182,t5_uqv_paraphraser,paraphrase,how can i find out if i have a warrant without paying a fee,how can i find out if i have a warrant,FALSE,FALSE
antique,1341602,t5_uqv_paraphraser,paraphrase,what are some common causes of my cat s eye to be watery and drip clear fluid,what causes my cat s eye to be watery and drip clear fluid,TRUE,TRUE
antique,1440810,t5_uqv_paraphraser,paraphrase,what is the difference between hotmail and hotmale,what is the difference between hotmail and hotmail,FALSE,FALSE
antique,1443637,t5_uqv_paraphraser,paraphrase,how do you find info about a house s history that isn t  historical,how do you find information about a house s history that isn t  historical,TRUE,TRUE
antique,1467322,t5_uqv_paraphraser,paraphrase,why do i keep coming on here asking stupid questions that dont really matter pray tell,why do i keep coming on here asking stupid questions that dont really matter,TRUE,TRUE
antique,1485589,t5_uqv_paraphraser,paraphrase,how sun rises,sun rises,TRUE,FALSE
antique,1536937,t5_uqv_paraphraser,paraphrase,why is there chinese chartacters but then you can spell them out in english i e    wei  ni how ma  vs the,why are there chinese chartacters i e   wei  ni how ma,FALSE,FALSE
antique,1583099,t5_uqv_paraphraser,paraphrase,why u s is trying 2 help israel  so what about palastene israel has more weapons than palastene,what about palastene israel has more weapons than palastene,TRUE,FALSE
antique,1647624,t5_uqv_paraphraser,paraphrase,why do american s say eggsit,why do americans say eggsit,TRUE,TRUE
antique,1708787,t5_uqv_paraphraser,paraphrase,how to loose wait without exercise,how to lose wait without exercise,FALSE,FALSE
antique,1727879,t5_uqv_paraphraser,paraphrase,why is organic all natural food  more expensive,why is organic all natural food more expensive,FALSE,FALSE
antique,17665,t5_uqv_paraphraser,paraphrase,how do i get rid of a bird s nest   my kichen window,how do i get rid of a bird s nest at my kichen window,TRUE,TRUE
antique,1881436,t5_uqv_paraphraser,paraphrase,how do motorcycle remains upright and stable by gyroscopic forces in detail    pls,gyroscopic forces on a motorcycle,TRUE,TRUE
antique,1933929,t5_uqv_paraphraser,paraphrase,why do dog go bathroom on the funiture,why do dogs go to the bathroom on the funiture,TRUE,TRUE
antique,196651,t5_uqv_paraphraser,paraphrase,what is the difference between customer and consumer,what is the difference between a customer and a consumer,TRUE,TRUE
antique,1978816,t5_uqv_paraphraser,paraphrase,if god talked to moses why didn t god explain to moses about evolution  why all the day 5 day 6 lies,if god talked to moses why didn t he explain evolution to him,FALSE,TRUE
antique,2041828,t5_uqv_paraphraser,paraphrase,what does the bible mean by calling pride a deadly sin,what does the bible mean by the term pride a deadly sin,FALSE,FALSE
antique,2112535,t5_uqv_paraphraser,paraphrase,how come my moma doesent know what  30 4 is,how come my moma doesent know what 30 4 is,FALSE,FALSE
antique,2113006,t5_uqv_paraphraser,paraphrase,when you go to buy a watch  why do all the watches clocks set to show 10 10,why do all the watches clocks set to show 10 10 when you go to buy a watch,TRUE,TRUE
antique,2418824,t5_uqv_paraphraser,paraphrase,why do space shuttles move when the rockets are fired but not when water is ejected,why do space shuttles move when rockets are fired,FALSE,TRUE
antique,242701,t5_uqv_paraphraser,paraphrase,why does taco bell always make me nauseas,why does taco bell make me nauseas,TRUE,TRUE
antique,2439070,t5_uqv_paraphraser,paraphrase,why we get irritate,why do we get irritate,TRUE,TRUE
antique,2587810,t5_uqv_paraphraser,paraphrase,what happens to bile salts when gallbladder has been removed,what happens to bile salts after gallbladder removal,TRUE,TRUE
antique,2632334,t5_uqv_paraphraser,paraphrase,on the most fundamental level  why is killing other humans bad,why is killing other humans bad,FALSE,TRUE
antique,263783,t5_uqv_paraphraser,paraphrase,what affects did watergate have on the presidency,what effects did watergate have on the presidency,TRUE,TRUE
antique,2678484,t5_uqv_paraphraser,paraphrase,what is the mean of bibliography,what is the meaning of bibliography,TRUE,TRUE
antique,2678635,t5_uqv_paraphraser,paraphrase,why do husky s have coloful eyes then other dogs,why do husky s have coloful eyes,TRUE,TRUE
antique,2735795,t5_uqv_paraphraser,paraphrase,how to decrease weight 100kg to 70kg,how to reduce weight 100kg to 70kg,TRUE,TRUE
antique,2764765,t5_uqv_paraphraser,paraphrase,how to study 17 18 hrs a day give me practical tips,how to study 17 18 hrs a day,FALSE,TRUE
antique,2910592,t5_uqv_paraphraser,paraphrase,how do i get rid of pink eye quick at home,how to get rid of pink eye,FALSE,TRUE
antique,3152714,t5_uqv_paraphraser,paraphrase,i m a black women and don t like hair under arms or private area but always get razor bumps how can i prevent,i m a black woman and always get razor bumps under my arms   how can i prevent them,TRUE,TRUE
antique,3172166,t5_uqv_paraphraser,paraphrase,does any one know how to find out about an insurance claim,how to find out about an insurance claim,TRUE,TRUE
antique,317469,t5_uqv_paraphraser,paraphrase,how can i get rid off my pimples white black heads  and oiliness of my face,how can i get rid of my pimples white black heads  and oiliness of my face,TRUE,TRUE
